month_label,month_start,new_accounts
2023-01,2023-01-01,17
2023-02,2023-02-01,18
2023-03,2023-03-01,20
2023-04,2023-04-01,15
2023-05,2023-05-01,26
2023-06,2023-06-01,13
2023-07,2023-07-01,14
2023-08,2023-08-01,16
2023-09,2023-09-01,23
2023-10,2023-10-01,20
2023-11,2023-11-01,25
2023-12,2023-12-01,20
2024-01,2024-01-01,16
2024-02,2024-02-01,13
2024-03,2024-03-01,27
2024-04,2024-04-01,22
2024-05,2024-05-01,22
2024-06,2024-06-01,21
2024-07,2024-07-01,26
2024-08,2024-08-01,21
2024-09,2024-09-01,25
2024-10,2024-10-01,31
2024-11,2024-11-01,32
2024-12,2024-12-01,17
