month_label,month_start,churn_events,unique_churned_accounts
2023-01,2023-01-01,1,1
2023-02,2023-02-01,0,0
2023-03,2023-03-01,5,5
2023-04,2023-04-01,3,3
2023-05,2023-05-01,3,3
2023-06,2023-06-01,5,5
2023-07,2023-07-01,6,6
2023-08,2023-08-01,7,6
2023-09,2023-09-01,6,6
2023-10,2023-10-01,10,10
2023-11,2023-11-01,11,11
2023-12,2023-12-01,16,16
2024-01,2024-01-01,20,18
2024-02,2024-02-01,10,10
2024-03,2024-03-01,24,24
2024-04,2024-04-01,25,23
2024-05,2024-05-01,27,25
2024-06,2024-06-01,40,38
2024-07,2024-07-01,35,33
2024-08,2024-08-01,42,40
2024-09,2024-09-01,53,48
2024-10,2024-10-01,66,60
2024-11,2024-11-01,68,60
2024-12,2024-12-01,117,96
