feature_name,usage_events,distinct_accounts_using,total_usage_count,total_duration_secs,avg_duration_secs_per_event,usage_volume_rank
feature_32,659,354,6686,2052316,3114.3,1
feature_15,640,351,6621,1966988,3073.4,2
feature_6,655,342,6546,2013972,3074.8,3
feature_20,643,334,6541,1947193,3028.3,4
feature_34,650,351,6536,2006721,3087.3,5
feature_12,659,374,6534,2061481,3128.2,6
feature_11,643,347,6533,2012779,3130.3,7
feature_2,642,360,6525,1935694,3015.1,8
feature_38,643,353,6478,1942257,3020.6,9
feature_26,649,352,6470,1976377,3045.3,10
feature_17,651,366,6458,1950827,2996.7,11
feature_39,631,356,6430,1945263,3082.8,12
feature_31,644,339,6425,1834473,2848.6,13
feature_36,648,359,6389,1874832,2893.3,14
feature_24,643,348,6388,2070250,3219.7,15
feature_10,634,337,6384,1873423,2954.9,16
feature_37,636,351,6380,1939656,3049.8,17
feature_4,625,346,6374,1968622,3149.8,18
feature_22,636,334,6366,1890956,2973.2,19
feature_1,629,340,6364,1836835,2920.2,20
feature_29,640,338,6362,1919259,2998.8,21
feature_30,629,341,6309,1893467,3010.3,22
feature_33,635,342,6274,1963278,3091.8,23
feature_16,622,337,6273,1952509,3139.1,24
feature_27,611,338,6231,1956868,3202.7,25
feature_40,621,337,6222,1931204,3109.8,26
feature_28,623,347,6213,1905657,3058.8,27
feature_9,624,347,6207,1876451,3007.1,28
feature_7,619,351,6113,1886544,3047.7,29
feature_13,612,350,6099,1812995,2962.4,30
feature_25,615,342,6091,1846029,3001.7,31
feature_8,596,336,6030,1877700,3150.5,32
feature_21,591,351,5950,1818658,3077.3,33
feature_3,598,336,5917,1786307,2987.1,34
feature_19,589,335,5900,1783390,3027.8,35
feature_14,600,352,5880,1793394,2989.0,36
feature_18,588,327,5850,1760936,2994.8,37
feature_35,587,338,5816,1733394,2953.0,38
feature_5,577,340,5759,1778264,3081.9,39
feature_23,563,329,5601,1677853,2980.2,40
