month_label,month_start,active_subscription_records,aggregate_subscription_mrr
2023-01,2023-01-01,3,4684
2023-02,2023-02-01,14,15763
2023-03,2023-03-01,31,41648
2023-04,2023-04-01,62,83436
2023-05,2023-05-01,90,169110
2023-06,2023-06-01,136,244097
2023-07,2023-07-01,194,363343
2023-08,2023-08-01,275,528736
2023-09,2023-09-01,336,644272
2023-10,2023-10-01,420,826790
2023-11,2023-11-01,538,1038507
2023-12,2023-12-01,651,1282212
2024-01,2024-01-01,782,1539046
2024-02,2024-02-01,923,1888127
2024-03,2024-03-01,1102,2295694
2024-04,2024-04-01,1286,2722124
2024-05,2024-05-01,1519,3339785
2024-06,2024-06-01,1755,3854007
2024-07,2024-07-01,2072,4541221
2024-08,2024-08-01,2392,5161618
2024-09,2024-09-01,2804,6113247
2024-10,2024-10-01,3273,7208953
2024-11,2024-11-01,3827,8647936
2024-12,2024-12-01,4707,10734251
