month_label,month_start,basic_mrr,pro_mrr,enterprise_mrr,total_mrr
2023-01,2023-01-01,171,931,3582,4684
2023-02,2023-02-01,741,6664,8358,15763
2023-03,2023-03-01,2603,13573,25472,41648
2023-04,2023-04-01,6935,26950,49551,83436
2023-05,2023-05-01,10925,43561,114624,169110
2023-06,2023-06-01,20900,63798,159399,244097
2023-07,2023-07-01,31825,85554,245964,363343
2023-08,2023-08-01,42997,102067,383672,528736
2023-09,2023-09-01,53390,133182,457700,644272
2023-10,2023-10-01,69673,161112,596005,826790
2023-11,2023-11-01,84208,201880,752419,1038507
2023-12,2023-12-01,103284,253379,925549,1282212
2024-01,2024-01-01,124735,301105,1113206,1539046
2024-02,2024-02-01,139536,368725,1379866,1888127
2024-03,2024-03-01,161006,437815,1696873,2295694
2024-04,2024-04-01,191045,490931,2040148,2722124
2024-05,2024-05-01,219108,610491,2510186,3339785
2024-06,2024-06-01,254695,708638,2890674,3854007
2024-07,2024-07-01,303126,852110,3385985,4541221
2024-08,2024-08-01,358036,986762,3816820,5161618
2024-09,2024-09-01,425581,1144297,4543369,6113247
2024-10,2024-10-01,496071,1325156,5387726,7208953
2024-11,2024-11-01,583167,1550703,6514066,8647936
2024-12,2024-12-01,711569,2002385,8020297,10734251
